Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Total government revenue as a proportion of GDP [17.1.1],,Percent,,20.2
2015,Total government revenueas a percentage of GDP_Domestic revenue,,Percent,,16.3
2015,Total government revenueas a percentage of GDP_Grants,,Percent,,3.9
2016,Total government revenue as a proportion of GDP [17.1.1],,Percent,,16.4
2016,Total government revenueas a percentage of GDP_Domestic revenue,,Percent,,15.0
2016,Total government revenueas a percentage of GDP_Grants,,Percent,,1.4
2017,Total government revenue as a proportion of GDP [17.1.1],,Percent,,16.3
2017,Total government revenueas a percentage of GDP_Domestic revenue,,Percent,,14.6
2017,Total government revenueas a percentage of GDP_Grants,,Percent,,1.7
2018,Total government revenue as a proportion of GDP [17.1.1],,Percent,,16.2
2018,Total government revenueas a percentage of GDP_Domestic revenue,,Percent,,14.3
2018,Total government revenueas a percentage of GDP_Grants,,Percent,,1.9
2019,Total government revenue as a proportion of GDP [17.1.1],,Percent,,15.3
2019,Total government revenueas a percentage of GDP_Domestic revenue,,Percent,,13.6
2019,Total government revenueas a percentage of GDP_Grants,,Percent,,1.7
