Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2015,Number of reported UXO casualties-Total,,,Number,,42
2015,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,,Number,,33
2015,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Male,Number,,15
2015,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Boy,Number,,16
2015,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Female,Number,,1
2015,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Girl,Number,,1
2015,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,,Number,,9
2015,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,Male,Number,,6
2015,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,Boy,Number,,2
2015,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,Female,Number,,1
2015,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,Girl,Number,,0
2016,Number of reported UXO casualties-Total,,,Number,,60
2016,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,,Number,,50
2016,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Male,Number,,18
2016,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Boy,Number,,24
2016,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Female,Number,,3
2016,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Girl,Number,,5
2016,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,,Number,,10
2016,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,Male,Number,,2
2016,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,Boy,Number,,8
2016,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,Female,Number,,0
2016,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,Girl,Number,,0
2017,Number of reported UXO casualties-Total,,,Number,,41
2017,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,,Number,,37
2017,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Male,Number,,12
2017,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Boy,Number,,8
2017,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Female,Number,,11
2017,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Girl,Number,,6
2017,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,,Number,,4
2017,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,Male,Number,,3
2017,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,Boy,Number,,0
2017,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,Female,Number,,0
2017,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],,Girl,Number,,1
2018,Number of reported UXO casualties-Total,,,Number,,24
2018,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,,Number,,21
2018,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Male,Number,,4
2018,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],,Boy,Number,,8
