Year,SERIES,Reference area,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,GeoCode,Value
2013,Proportion of births attended by skilled health personnel [3.1.2],,,,,Percent,,41.5
2017,Proportion of births attended by skilled health personnel [3.1.2],,,,,Percent,,64.4
2017,Proportion of births attended by skilled health personnel [3.1.2],,,Urban,,Percent,,89.7
2017,Proportion of births attended by skilled health personnel [3.1.2],,,Rural,,Percent,,54.9
2017,Proportion of births attended by skilled health personnel [3.1.2],,Under 20 years old,,,Percent,,56.4
2017,Proportion of births attended by skilled health personnel [3.1.2],,20 to 34 years old,,,Percent,,67.0
2017,Proportion of births attended by skilled health personnel [3.1.2],,35 to 49 years old,,,Percent,,57.3
2017,Proportion of births attended by skilled health personnel [3.1.2],,,,Quintile 1 (poorest),Percent,,32.6
2017,Proportion of births attended by skilled health personnel [3.1.2],,,,Quintile 2,Percent,,50.9
2017,Proportion of births attended by skilled health personnel [3.1.2],,,,Quintile 3,Percent,,72.2
2017,Proportion of births attended by skilled health personnel [3.1.2],,,,Quintile 4,Percent,,87.4
2017,Proportion of births attended by skilled health personnel [3.1.2],,,,Quintile 5 (richest),Percent,,96.8
2016,Proportion of births attended by skilled health personnel [3.1.2],,,,,Percent,,57.6
2018,Proportion of births attended by skilled health personnel [3.1.2],,,,,Percent,,68.0
2019,Proportion of births attended by skilled health personnel [3.1.2],,,,,Percent,,69.0
