Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,"ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ການ ຮ່ວມ ມື ດ້ານ ວິ ທະ ຍາ ສາດ ແລະ/ຫຼື ເຕັກ ໂນ ໂລ ຊີ ລະ ຫວ່າງ ປະ ເທດ, ໂດຍ ການ ຮ່ວມ ມື ແບບ (ເພີ່ມ ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ກັບ ລັດ ອື່ນ ແລະ ອົງ ການ ຈັດ ຕັ້ງ ສາກົນ ໃຫ້ ໄດ້ 100 ຂໍ້ ຕົກ ລົງ ແລະ ນໍາ ໃຊ້ 80% ໃນ ປີ 2020)",,ເລກທີ,,36
2016,"ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ການ ຮ່ວມ ມື ດ້ານ ວິ ທະ ຍາ ສາດ ແລະ/ຫຼື ເຕັກ ໂນ ໂລ ຊີ ລະ ຫວ່າງ ປະ ເທດ, ໂດຍ ການ ຮ່ວມ ມື ແບບ (ເພີ່ມ ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ກັບ ລັດ ອື່ນ ແລະ ອົງ ການ ຈັດ ຕັ້ງ ສາກົນ ໃຫ້ ໄດ້ 100 ຂໍ້ ຕົກ ລົງ ແລະ ນໍາ ໃຊ້ 80% ໃນ ປີ 2020)",,ເລກທີ,,15
2017,"ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ການ ຮ່ວມ ມື ດ້ານ ວິ ທະ ຍາ ສາດ ແລະ/ຫຼື ເຕັກ ໂນ ໂລ ຊີ ລະ ຫວ່າງ ປະ ເທດ, ໂດຍ ການ ຮ່ວມ ມື ແບບ (ເພີ່ມ ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ກັບ ລັດ ອື່ນ ແລະ ອົງ ການ ຈັດ ຕັ້ງ ສາກົນ ໃຫ້ ໄດ້ 100 ຂໍ້ ຕົກ ລົງ ແລະ ນໍາ ໃຊ້ 80% ໃນ ປີ 2020)",,ເລກທີ,,32
2018,"ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ການ ຮ່ວມ ມື ດ້ານ ວິ ທະ ຍາ ສາດ ແລະ/ຫຼື ເຕັກ ໂນ ໂລ ຊີ ລະ ຫວ່າງ ປະ ເທດ, ໂດຍ ການ ຮ່ວມ ມື ແບບ (ເພີ່ມ ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ກັບ ລັດ ອື່ນ ແລະ ອົງ ການ ຈັດ ຕັ້ງ ສາກົນ ໃຫ້ ໄດ້ 100 ຂໍ້ ຕົກ ລົງ ແລະ ນໍາ ໃຊ້ 80% ໃນ ປີ 2020)",,ເລກທີ,,48
2019,"ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ການ ຮ່ວມ ມື ດ້ານ ວິ ທະ ຍາ ສາດ ແລະ/ຫຼື ເຕັກ ໂນ ໂລ ຊີ ລະ ຫວ່າງ ປະ ເທດ, ໂດຍ ການ ຮ່ວມ ມື ແບບ (ເພີ່ມ ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ກັບ ລັດ ອື່ນ ແລະ ອົງ ການ ຈັດ ຕັ້ງ ສາກົນ ໃຫ້ ໄດ້ 100 ຂໍ້ ຕົກ ລົງ ແລະ ນໍາ ໃຊ້ 80% ໃນ ປີ 2020)",,ເລກທີ,,18
2015,ຈໍານວນໂຄງການຄົ້ນຄວ້າ/ເອກະສານ (ເພີ່ມຈໍານວນໂຄງການຄົ້ນຄວ້າໃນລະດັບຊາດ ແລະ ກະຊວງໃຫ້ໄດ້ 250 ໂຄງການໃນປີ 2025),,ເລກທີ,,63
2016,ຈໍານວນໂຄງການຄົ້ນຄວ້າ/ເອກະສານ (ເພີ່ມຈໍານວນໂຄງການຄົ້ນຄວ້າໃນລະດັບຊາດ ແລະ ກະຊວງໃຫ້ໄດ້ 250 ໂຄງການໃນປີ 2025),,ເລກທີ,,46
2017,ຈໍານວນໂຄງການຄົ້ນຄວ້າ/ເອກະສານ (ເພີ່ມຈໍານວນໂຄງການຄົ້ນຄວ້າໃນລະດັບຊາດ ແລະ ກະຊວງໃຫ້ໄດ້ 250 ໂຄງການໃນປີ 2025),,ເລກທີ,,16
2018,ຈໍານວນໂຄງການຄົ້ນຄວ້າ/ເອກະສານ (ເພີ່ມຈໍານວນໂຄງການຄົ້ນຄວ້າໃນລະດັບຊາດ ແລະ ກະຊວງໃຫ້ໄດ້ 250 ໂຄງການໃນປີ 2025),,ເລກທີ,,18
2019,ຈໍານວນໂຄງການຄົ້ນຄວ້າ/ເອກະສານ (ເພີ່ມຈໍານວນໂຄງການຄົ້ນຄວ້າໃນລະດັບຊາດ ແລະ ກະຊວງໃຫ້ໄດ້ 250 ໂຄງການໃນປີ 2025),,ເລກທີ,,18
