Year,SERIES,ເຂດອ້າງອີງ,ເພດ,ລະດັບການເມືອງ,ລາຍໄດ້ ຫຼື ຄວາມຮັ່ງມີ quantile,UNIT_MEASURE,GeoCode,Value
2015,ອັດຕາສ່ວນຂອງເດັກທີ່ພໍດີພໍສົມຄວນ ຫຼື ຮຸນແຮງ [2.2.1],,,,,ເປີເຊັນ,,35.5
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ພໍດີພໍສົມຄວນ ຫຼື ຮຸນແຮງ [2.2.1],,,,,ເປີເຊັນ,,33.0
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ພໍດີພໍສົມຄວນ ຫຼື ຮຸນແຮງ [2.2.1],,,ຕົວເມືອງ,,ເປີເຊັນ,,21.5
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ພໍດີພໍສົມຄວນ ຫຼື ຮຸນແຮງ [2.2.1],,,ຊົນນະບົດ,,ເປີເຊັນ,,37.2
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ພໍດີພໍສົມຄວນ ຫຼື ຮຸນແຮງ [2.2.1],,ຜູ້ຊາຍ,,,ເປີເຊັນ,,34.0
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ພໍດີພໍສົມຄວນ ຫຼື ຮຸນແຮງ [2.2.1],,ຜູ້ຍິງ,,,ເປີເຊັນ,,32.0
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ພໍດີພໍສົມຄວນ ຫຼື ຮຸນແຮງ [2.2.1],,,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),ເປີເຊັນ,,48.0
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ພໍດີພໍສົມຄວນ ຫຼື ຮຸນແຮງ [2.2.1],,,,Quintile 2,ເປີເຊັນ,,40.5
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ພໍດີພໍສົມຄວນ ຫຼື ຮຸນແຮງ [2.2.1],,,,Quintile 3,ເປີເຊັນ,,30.0
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ພໍດີພໍສົມຄວນ ຫຼື ຮຸນແຮງ [2.2.1],,,,Quintile 4,ເປີເຊັນ,,22.8
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ພໍດີພໍສົມຄວນ ຫຼື ຮຸນແຮງ [2.2.1],,,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),ເປີເຊັນ,,13.9
2012,ຕື່ນຕົກໃຈໃນທ່າມກາງອາຍຸຕໍ່າກວ່າ 2 ປີ (ສໍາລັບຄໍາຫມັ້ນສັນຍາຂອງ Lao PDR ຕໍ່ໂຄງການ SUN 1000 ມື້) [2.2.1],,,,,ເປີເຊັນ,,42.0
2018,ຕື່ນຕົກໃຈໃນທ່າມກາງອາຍຸຕໍ່າກວ່າ 2 ປີ (ສໍາລັບຄໍາຫມັ້ນສັນຍາຂອງ Lao PDR ຕໍ່ໂຄງການ SUN 1000 ມື້) [2.2.1],,,,,ເປີເຊັນ,,25.4
2018,ຕື່ນຕົກໃຈໃນທ່າມກາງອາຍຸຕໍ່າກວ່າ 2 ປີ (ສໍາລັບຄໍາຫມັ້ນສັນຍາຂອງ Lao PDR ຕໍ່ໂຄງການ SUN 1000 ມື້) [2.2.1],,,ຕົວເມືອງ,,ເປີເຊັນ,,16.8
2018,ຕື່ນຕົກໃຈໃນທ່າມກາງອາຍຸຕໍ່າກວ່າ 2 ປີ (ສໍາລັບຄໍາຫມັ້ນສັນຍາຂອງ Lao PDR ຕໍ່ໂຄງການ SUN 1000 ມື້) [2.2.1],,,ຊົນນະບົດ,,ເປີເຊັນ,,28.6
2018,ຕື່ນຕົກໃຈໃນທ່າມກາງອາຍຸຕໍ່າກວ່າ 2 ປີ (ສໍາລັບຄໍາຫມັ້ນສັນຍາຂອງ Lao PDR ຕໍ່ໂຄງການ SUN 1000 ມື້) [2.2.1],,ຜູ້ຊາຍ,,,ເປີເຊັນ,,27.7
2018,ຕື່ນຕົກໃຈໃນທ່າມກາງອາຍຸຕໍ່າກວ່າ 2 ປີ (ສໍາລັບຄໍາຫມັ້ນສັນຍາຂອງ Lao PDR ຕໍ່ໂຄງການ SUN 1000 ມື້) [2.2.1],,ຜູ້ຍິງ,,,ເປີເຊັນ,,22.8
2018,ຕື່ນຕົກໃຈໃນທ່າມກາງອາຍຸຕໍ່າກວ່າ 2 ປີ (ສໍາລັບຄໍາຫມັ້ນສັນຍາຂອງ Lao PDR ຕໍ່ໂຄງການ SUN 1000 ມື້) [2.2.1],,,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),ເປີເຊັນ,,36.2
2018,ຕື່ນຕົກໃຈໃນທ່າມກາງອາຍຸຕໍ່າກວ່າ 2 ປີ (ສໍາລັບຄໍາຫມັ້ນສັນຍາຂອງ Lao PDR ຕໍ່ໂຄງການ SUN 1000 ມື້) [2.2.1],,,,Quintile 2,ເປີເຊັນ,,31.9
2018,ຕື່ນຕົກໃຈໃນທ່າມກາງອາຍຸຕໍ່າກວ່າ 2 ປີ (ສໍາລັບຄໍາຫມັ້ນສັນຍາຂອງ Lao PDR ຕໍ່ໂຄງການ SUN 1000 ມື້) [2.2.1],,,,Quintile 3,ເປີເຊັນ,,22.2
2018,ຕື່ນຕົກໃຈໃນທ່າມກາງອາຍຸຕໍ່າກວ່າ 2 ປີ (ສໍາລັບຄໍາຫມັ້ນສັນຍາຂອງ Lao PDR ຕໍ່ໂຄງການ SUN 1000 ມື້) [2.2.1],,,,Quintile 4,ເປີເຊັນ,,18.0
2018,ຕື່ນຕົກໃຈໃນທ່າມກາງອາຍຸຕໍ່າກວ່າ 2 ປີ (ສໍາລັບຄໍາຫມັ້ນສັນຍາຂອງ Lao PDR ຕໍ່ໂຄງການ SUN 1000 ມື້) [2.2.1],,,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),ເປີເຊັນ,,12.3
