Year,SERIES,ເຂດອ້າງອີງ,ລະດັບການເມືອງ,ລາຍໄດ້ ຫຼື ຄວາມຮັ່ງມີ quantile,UNIT_MEASURE,GeoCode,Value
2013,ອັດຕາການຕາຍຂອງເນໂຕ້ [3.2.2],,,,"ຕໍ່ 100,000 ຄົນ",,32.0
2017,ອັດຕາການຕາຍຂອງເນໂຕ້ [3.2.2],,,,"ຕໍ່ 100,000 ຄົນ",,18.0
2017,ອັດຕາການຕາຍຂອງເນໂຕ້ [3.2.2],,ຕົວເມືອງ,,"ຕໍ່ 100,000 ຄົນ",,14.0
2017,ອັດຕາການຕາຍຂອງເນໂຕ້ [3.2.2],,ຊົນນະບົດ,,"ຕໍ່ 100,000 ຄົນ",,19.0
2017,ອັດຕາການຕາຍຂອງເນໂຕ້ [3.2.2],,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),"ຕໍ່ 100,000 ຄົນ",,20.0
2017,ອັດຕາການຕາຍຂອງເນໂຕ້ [3.2.2],,,Quintile 2,"ຕໍ່ 100,000 ຄົນ",,21.0
2017,ອັດຕາການຕາຍຂອງເນໂຕ້ [3.2.2],,,Quintile 3,"ຕໍ່ 100,000 ຄົນ",,14.0
2017,ອັດຕາການຕາຍຂອງເນໂຕ້ [3.2.2],,,Quintile 4,"ຕໍ່ 100,000 ຄົນ",,16.0
2017,ອັດຕາການຕາຍຂອງເນໂຕ້ [3.2.2],,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),"ຕໍ່ 100,000 ຄົນ",,14.0
2016,ອັດຕາການຕາຍຂອງເນໂຕ້ [3.2.2],,,,"ຕໍ່ 100,000 ຄົນ",,6.8
2018,ອັດຕາການຕາຍຂອງເນໂຕ້ [3.2.2],,,,"ຕໍ່ 100,000 ຄົນ",,7.4
2019,ອັດຕາການຕາຍຂອງເນໂຕ້ [3.2.2],,,,"ຕໍ່ 100,000 ຄົນ",,6.9
