Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1],,ເປີເຊັນ,,20.2
2015,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງລາຍຮັບ GDP_Domestic,,ເປີເຊັນ,,16.3
2015,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງ GDP_Grants,,ເປີເຊັນ,,3.9
2016,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1],,ເປີເຊັນ,,16.4
2016,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງລາຍຮັບ GDP_Domestic,,ເປີເຊັນ,,15.0
2016,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງ GDP_Grants,,ເປີເຊັນ,,1.4
2017,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1],,ເປີເຊັນ,,16.3
2017,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງລາຍຮັບ GDP_Domestic,,ເປີເຊັນ,,14.6
2017,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງ GDP_Grants,,ເປີເຊັນ,,1.7
2018,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1],,ເປີເຊັນ,,16.2
2018,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງລາຍຮັບ GDP_Domestic,,ເປີເຊັນ,,14.3
2018,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງ GDP_Grants,,ເປີເຊັນ,,1.9
2019,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1],,ເປີເຊັນ,,15.3
2019,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງລາຍຮັບ GDP_Domestic,,ເປີເຊັນ,,13.6
2019,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງ GDP_Grants,,ເປີເຊັນ,,1.7
