Year,SERIES,ເຂດອ້າງອີງ,ອາຍຸ,ລະດັບການເມືອງ,ລາຍໄດ້ ຫຼື ຄວາມຮັ່ງມີ quantile,UNIT_MEASURE,GeoCode,Value
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,,,,ເປີເຊັນ,,73.1
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,,ຕົວເມືອງ,,ເປີເຊັນ,,91.7
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,,ຊົນນະບົດ,,ເປີເຊັນ,,63.7
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),ເປີເຊັນ,,30.7
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,,,Quintile 2,ເປີເຊັນ,,57.1
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,,,Quintile 3,ເປີເຊັນ,,77.4
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,,,Quintile 4,ເປີເຊັນ,,90.1
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),ເປີເຊັນ,,97.9
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,15 ຫາ 19 ປີ,,,ເປີເຊັນ,,74.8
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,20 ຫາ 24 ປີ,,,ເປີເຊັນ,,77.2
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,25 ຫາ 29 ປີ,,,ເປີເຊັນ,,74.4
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,ອາຍຸ 30 ຫາ 34 ປີ,,,ເປີເຊັນ,,73.8
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,35 ຫາ 39 ປີ,,,ເປີເຊັນ,,69.2
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,40 ຫາ 44 ປີ,,,ເປີເຊັນ,,68.7
2017,ສ່ວນບຸກຄົນທີ່ເປັນເຈົ້າຂອງໂທລະສັບມືຖື [5.b.1],,45 ຫາ 49 ປີ,,,ເປີເຊັນ,,71.2
