Year,SERIES,ເຂດອ້າງອີງ,ເພດ,ກິດຈະກໍາເສດຖະກິດ,UNIT_MEASURE,GeoCode,Value
2015,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,5208
2015,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,2005
2015,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,3203
2015,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,5859
2015,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,3592
2015,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,2267
2015,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,11979
2015,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,3929
2015,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,8050
2016,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,5729
2016,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,2206
2016,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,3523
2016,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,6250
2016,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,3831
2016,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,2419
2016,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,13021
2016,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,4271
2016,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,8750
2017,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,8677
2017,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,5342
2017,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,3335
2017,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,16713
2017,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,6469
2017,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,10244
2017,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,18194
2017,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,12230
2017,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,5964
2018,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,14579
2018,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,8966
2018,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,5613
2018,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,14271
2018,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,5523
2018,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,8748
2018,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,15616
2018,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,10493
2018,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,5123
2019,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,15813
2019,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,9735
2019,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,"ກະສິກໍາ, ປ່າໄມ້ ແລະ ການຫາປາ",ສະກຸນເງິນທ້ອງຖິ່ນ,,6078
2019,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,16979
2019,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,6571
2019,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,ອຸດສາຫະກໍາ,ສະກຸນເງິນທ້ອງຖິ່ນ,,10407
2019,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,17088
2019,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຊາຍ,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,11487
2019,ລາຍໄດ້ປະຈໍາຊົ່ວໂມງສະເລ່ຍ [8.5.1],,ຜູ້ຍິງ,ການບໍລິການ,ສະກຸນເງິນທ້ອງຖິ່ນ,,5601
