Year,SERIES,ເຂດອ້າງອີງ,ເພດ,ອາຍຸ,ລະດັບການເມືອງ,UNIT_MEASURE,GeoCode,Value
2015,ອັດຕາການຫວ່າງງານ [8.5.2],,,,,ເປີເຊັນ,,2.1
2015,ອັດຕາການຫວ່າງງານ [8.5.2],,ຜູ້ຊາຍ,,,ເປີເຊັນ,,2.1
2015,ອັດຕາການຫວ່າງງານ [8.5.2],,ຜູ້ຍິງ,,,ເປີເຊັນ,,2.1
2017,ອັດຕາການຫວ່າງງານ [8.5.2],,,,,ເປີເຊັນ,,9.4
2017,ອັດຕາການຫວ່າງງານ [8.5.2],,ຜູ້ຊາຍ,,,ເປີເຊັນ,,10.7
2017,ອັດຕາການຫວ່າງງານ [8.5.2],,ຜູ້ຍິງ,,,ເປີເຊັນ,,7.8
2017,ອັດຕາການຫວ່າງງານ [8.5.2],,,15 ປີແລະຫຼາຍກວ່າ,ຕົວເມືອງ,ເປີເຊັນ,,5.3
2017,ອັດຕາການຫວ່າງງານ [8.5.2],,,15 ປີແລະຫຼາຍກວ່າ,ຊົນນະບົດ,ເປີເຊັນ,,12.4
2017,ອັດຕາການຫວ່າງງານ [8.5.2],,,15 ຫາ 24 ປີ,,ເປີເຊັນ,,18.2
2017,ອັດຕາການຫວ່າງງານ [8.5.2],,,25 ປີແລະຫຼາຍກວ່າ,,ເປີເຊັນ,,7.4
