Year,SERIES,ເຂດອ້າງອີງ,ເພດ,ອາຍຸ,ລະດັບການເມືອງ,ລາຍໄດ້ ຫຼື ຄວາມຮັ່ງມີ quantile,UNIT_MEASURE,GeoCode,Value
2010,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,,,,,ເປີເຊັນ,,15.0
2010,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,ຜູ້ຊາຍ,,,,ເປີເຊັນ,,17.0
2010,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,ຜູ້ຍິງ,,,,ເປີເຊັນ,,13.0
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,,,,,ເປີເຊັນ,,42.8
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,ຜູ້ຊາຍ,,,,ເປີເຊັນ,,43.2
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,ຜູ້ຍິງ,,,,ເປີເຊັນ,,42.4
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,,5 ຫາ 17 ປີ,,,ເປີເຊັນ,,42.5
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,ຜູ້ຊາຍ,5 ຫາ 17 ປີ,,,ເປີເຊັນ,,42.9
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,ຜູ້ຍິງ,5 ຫາ 17 ປີ,,,ເປີເຊັນ,,42.1
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,,5-11 ປີ,,,ເປີເຊັນ,,38.0
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,,12 ຫາ 14 ປີ,,,ເປີເຊັນ,,48.6
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,,,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),ເປີເຊັນ,,48.6
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,,,,Quintile 2,ເປີເຊັນ,,47.1
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,,,,Quintile 3,ເປີເຊັນ,,44.5
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,,,,Quintile 4,ເປີເຊັນ,,38.0
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,,,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),ເປີເຊັນ,,28.5
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,,,ຕົວເມືອງ,,ເປີເຊັນ,,33.1
2017,ອັດຕາສ່ວນຂອງເດັກທີ່ມີສ່ວນຮ່ວມໃນກິດຈະກໍາເສດຖະກິດ ແລະ ວຽກເຮັດງານທໍາໃນຄົວເຮືອນ [8.7.1],,,,ຊົນນະບົດ,,ເປີເຊັນ,,45.7
