Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_180101_00,,,NUMBER,,42
2015,_L_LA_180101_01,,,NUMBER,,33
2015,_L_LA_180101_01,,M,NUMBER,,15
2015,_L_LA_180101_01,,B,NUMBER,,16
2015,_L_LA_180101_01,,F,NUMBER,,1
2015,_L_LA_180101_01,,G,NUMBER,,1
2015,_L_LA_180101_02,,,NUMBER,,9
2015,_L_LA_180101_02,,M,NUMBER,,6
2015,_L_LA_180101_02,,B,NUMBER,,2
2015,_L_LA_180101_02,,F,NUMBER,,1
2015,_L_LA_180101_02,,G,NUMBER,,0
2016,_L_LA_180101_00,,,NUMBER,,60
2016,_L_LA_180101_01,,,NUMBER,,50
2016,_L_LA_180101_01,,M,NUMBER,,18
2016,_L_LA_180101_01,,B,NUMBER,,24
2016,_L_LA_180101_01,,F,NUMBER,,3
2016,_L_LA_180101_01,,G,NUMBER,,5
2016,_L_LA_180101_02,,,NUMBER,,10
2016,_L_LA_180101_02,,M,NUMBER,,2
2016,_L_LA_180101_02,,B,NUMBER,,8
2016,_L_LA_180101_02,,F,NUMBER,,0
2016,_L_LA_180101_02,,G,NUMBER,,0
2017,_L_LA_180101_00,,,NUMBER,,41
2017,_L_LA_180101_01,,,NUMBER,,37
2017,_L_LA_180101_01,,M,NUMBER,,12
2017,_L_LA_180101_01,,B,NUMBER,,8
2017,_L_LA_180101_01,,F,NUMBER,,11
2017,_L_LA_180101_01,,G,NUMBER,,6
2017,_L_LA_180101_02,,,NUMBER,,4
2017,_L_LA_180101_02,,M,NUMBER,,3
2017,_L_LA_180101_02,,B,NUMBER,,0
2017,_L_LA_180101_02,,F,NUMBER,,0
2017,_L_LA_180101_02,,G,NUMBER,,1
2018,_L_LA_180101_00,,,NUMBER,,24
2018,_L_LA_180101_01,,,NUMBER,,21
2018,_L_LA_180101_01,,M,NUMBER,,4
2018,_L_LA_180101_01,,B,NUMBER,,8
2018,_L_LA_180101_01,,F,NUMBER,,4
2018,_L_LA_180101_01,,G,NUMBER,,5
2018,_L_LA_180101_02,,,NUMBER,,3
2018,_L_LA_180101_02,,M,NUMBER,,2
2018,_L_LA_180101_02,,B,NUMBER,,1
2018,_L_LA_180101_02,,F,NUMBER,,0
2018,_L_LA_180101_02,,G,NUMBER,,0
2019,_L_LA_180101_00,,,NUMBER,,25
2019,_L_LA_180101_01,,,NUMBER,,16
2019,_L_LA_180101_01,,M,NUMBER,,5
2019,_L_LA_180101_01,,B,NUMBER,,4
2019,_L_LA_180101_01,,F,NUMBER,,2
2019,_L_LA_180101_01,,G,NUMBER,,5
2019,_L_LA_180101_02,,,NUMBER,,9
2019,_L_LA_180101_02,,M,NUMBER,,8
2019,_L_LA_180101_02,,B,NUMBER,,1
2019,_L_LA_180101_02,,F,NUMBER,,0
2019,_L_LA_180101_02,,G,NUMBER,,0
2020,_L_LA_180101_00,,,NUMBER,,33
2020,_L_LA_180101_01,,,NUMBER,,24
2020,_L_LA_180101_01,,M,NUMBER,,11
2020,_L_LA_180101_01,,B,NUMBER,,9
2020,_L_LA_180101_01,,F,NUMBER,,2
2020,_L_LA_180101_01,,G,NUMBER,,2
2020,_L_LA_180101_02,,,NUMBER,,6
2020,_L_LA_180101_02,,M,NUMBER,,6
2020,_L_LA_180101_02,,B,NUMBER,,1
2020,_L_LA_180101_02,,F,NUMBER,,0
2020,_L_LA_180101_02,,G,NUMBER,,0
