Year,SERIES,REF_AREA,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,GeoCode,Value
2013,SH_STA_BRTC,,,,,PT,,41.5
2017,SH_STA_BRTC,,,,,PT,,64.4
2017,SH_STA_BRTC,,,U,,PT,,89.7
2017,SH_STA_BRTC,,,R,,PT,,54.9
2017,SH_STA_BRTC,,Y0T19,,,PT,,56.4
2017,SH_STA_BRTC,,Y20T34,,,PT,,67.0
2017,SH_STA_BRTC,,Y35T49,,,PT,,57.3
2017,SH_STA_BRTC,,,,Q1,PT,,32.6
2017,SH_STA_BRTC,,,,Q2,PT,,50.9
2017,SH_STA_BRTC,,,,Q3,PT,,72.2
2017,SH_STA_BRTC,,,,Q4,PT,,87.4
2017,SH_STA_BRTC,,,,Q5,PT,,96.8
2016,SH_STA_BRTC,,,,,PT,,57.6
2018,SH_STA_BRTC,,,,,PT,,68.0
2019,SH_STA_BRTC,,,,,PT,,69.0
