Year,SERIES,REF_AREA,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,GeoCode,Value
2013,SH_DYN_NMRT,,,,PER_100000_POP,,32.0
2017,SH_DYN_NMRT,,,,PER_100000_POP,,18.0
2017,SH_DYN_NMRT,,U,,PER_100000_POP,,14.0
2017,SH_DYN_NMRT,,R,,PER_100000_POP,,19.0
2017,SH_DYN_NMRT,,,Q1,PER_100000_POP,,20.0
2017,SH_DYN_NMRT,,,Q2,PER_100000_POP,,21.0
2017,SH_DYN_NMRT,,,Q3,PER_100000_POP,,14.0
2017,SH_DYN_NMRT,,,Q4,PER_100000_POP,,16.0
2017,SH_DYN_NMRT,,,Q5,PER_100000_POP,,14.0
2016,SH_DYN_NMRT,,,,PER_100000_POP,,6.8
2018,SH_DYN_NMRT,,,,PER_100000_POP,,7.4
2019,SH_DYN_NMRT,,,,PER_100000_POP,,6.9
