Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_040501_01,,ISCED11_10,PT,,0.97
2015,_L_LA_040501_01,,ISCED11_24,PT,,0.95
2015,_L_LA_040501_01,,ISCED11_34,PT,,0.88
2016,_L_LA_040501_01,,ISCED11_10,PT,,0.97
2016,_L_LA_040501_01,,ISCED11_24,PT,,0.95
2016,_L_LA_040501_01,,ISCED11_34,PT,,0.91
2017,_L_LA_040501_01,,ISCED11_10,PT,,0.98
2017,_L_LA_040501_01,,ISCED11_24,PT,,0.95
2017,_L_LA_040501_01,,ISCED11_34,PT,,0.91
2018,_L_LA_040501_01,,ISCED11_10,PT,,0.98
2018,_L_LA_040501_01,,ISCED11_24,PT,,0.96
2018,_L_LA_040501_01,,ISCED11_34,PT,,0.91
