Year,SERIES,REF_AREA,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,GeoCode,Value
2017,IT_MOB_OWN,,,,,PT,,73.1
2017,IT_MOB_OWN,,,U,,PT,,91.7
2017,IT_MOB_OWN,,,R,,PT,,63.7
2017,IT_MOB_OWN,,,,Q1,PT,,30.7
2017,IT_MOB_OWN,,,,Q2,PT,,57.1
2017,IT_MOB_OWN,,,,Q3,PT,,77.4
2017,IT_MOB_OWN,,,,Q4,PT,,90.1
2017,IT_MOB_OWN,,,,Q5,PT,,97.9
2017,IT_MOB_OWN,,Y15T19,,,PT,,74.8
2017,IT_MOB_OWN,,Y20T24,,,PT,,77.2
2017,IT_MOB_OWN,,Y25T29,,,PT,,74.4
2017,IT_MOB_OWN,,Y30T34,,,PT,,73.8
2017,IT_MOB_OWN,,Y35T39,,,PT,,69.2
2017,IT_MOB_OWN,,Y40T44,,,PT,,68.7
2017,IT_MOB_OWN,,Y45T49,,,PT,,71.2
