Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2013,SD_MDP_CSMP,,,,,PT,,33.1
2018,SD_MDP_CSMP,,,,,PT,,22.0
2013,SD_MDP_CSMP,,,,U,PT,,42.5
2018,SD_MDP_CSMP,,,,U,PT,,22.0
2013,SD_MDP_CSMP,,,,R,PT,,9.9
2018,SD_MDP_CSMP,,,,R,PT,,28.9
2013,SD_MDP_CSMP,,M,,,PT,,33.2
2018,SD_MDP_CSMP,,M,,,PT,,22.0
2013,SD_MDP_CSMP,,F,,,PT,,33.0
2018,SD_MDP_CSMP,,F,,,PT,,21.8
2013,SD_MDP_CSMP,,,Y0T14,,PT,,44.5
2013,SD_MDP_CSMP,,,Y15T24,,PT,,28.7
2013,SD_MDP_CSMP,,,Y55T64,,PT,,24.2
2013,SD_MDP_CSMP,,,Y_GE65,,PT,,29.1
2018,SD_MDP_CSMP,,,Y0T14,,PT,,29.8
2018,SD_MDP_CSMP,,,Y15T24,,PT,,22.2
2018,SD_MDP_CSMP,,,Y55T64,,PT,,15.4
2018,SD_MDP_CSMP,,,Y_GE65,,PT,,19.2
