Year,SERIES,REF_AREA,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,GeoCode,Value
2017,SP_DYN_MRBF15,,,,PT,,7.1
2017,SP_DYN_MRBF15,,U,,PT,,3.3
2017,SP_DYN_MRBF15,,R,,PT,,9.0
2017,SP_DYN_MRBF15,,,Q1,PT,,15.9
2017,SP_DYN_MRBF15,,,Q2,PT,,9.7
2017,SP_DYN_MRBF15,,,Q3,PT,,6.6
2017,SP_DYN_MRBF15,,,Q4,PT,,3.4
2017,SP_DYN_MRBF15,,,Q5,PT,,1.4
2017,SP_DYN_MRBF18,,,,PT,,32.7
2017,SP_DYN_MRBF18,,U,,PT,,20.9
2017,SP_DYN_MRBF18,,R,,PT,,38.5
2017,SP_DYN_MRBF18,,,Q1,PT,,55.6
2017,SP_DYN_MRBF18,,,Q2,PT,,40.4
2017,SP_DYN_MRBF18,,,Q3,PT,,33.2
2017,SP_DYN_MRBF18,,,Q4,PT,,25.8
2017,SP_DYN_MRBF18,,,Q5,PT,,12.9
