Year,SERIES,REF_AREA,SEX,ACTIVITY,UNIT_MEASURE,GeoCode,Value
2015,SL_EMP_EARN,,,ISIC4_A,CUR_LCU,,5208
2015,SL_EMP_EARN,,M,ISIC4_A,CUR_LCU,,2005
2015,SL_EMP_EARN,,F,ISIC4_A,CUR_LCU,,3203
2015,SL_EMP_EARN,,,ISIC4_BTFXE,CUR_LCU,,5859
2015,SL_EMP_EARN,,M,ISIC4_BTFXE,CUR_LCU,,3592
2015,SL_EMP_EARN,,F,ISIC4_BTFXE,CUR_LCU,,2267
2015,SL_EMP_EARN,,,ISIC4_GTS,CUR_LCU,,11979
2015,SL_EMP_EARN,,M,ISIC4_GTS,CUR_LCU,,3929
2015,SL_EMP_EARN,,F,ISIC4_GTS,CUR_LCU,,8050
2016,SL_EMP_EARN,,,ISIC4_A,CUR_LCU,,5729
2016,SL_EMP_EARN,,M,ISIC4_A,CUR_LCU,,2206
2016,SL_EMP_EARN,,F,ISIC4_A,CUR_LCU,,3523
2016,SL_EMP_EARN,,,ISIC4_BTFXE,CUR_LCU,,6250
2016,SL_EMP_EARN,,M,ISIC4_BTFXE,CUR_LCU,,3831
2016,SL_EMP_EARN,,F,ISIC4_BTFXE,CUR_LCU,,2419
2016,SL_EMP_EARN,,,ISIC4_GTS,CUR_LCU,,13021
2016,SL_EMP_EARN,,M,ISIC4_GTS,CUR_LCU,,4271
2016,SL_EMP_EARN,,F,ISIC4_GTS,CUR_LCU,,8750
2017,SL_EMP_EARN,,,ISIC4_A,CUR_LCU,,8677
2017,SL_EMP_EARN,,M,ISIC4_A,CUR_LCU,,5342
2017,SL_EMP_EARN,,F,ISIC4_A,CUR_LCU,,3335
2017,SL_EMP_EARN,,,ISIC4_BTFXE,CUR_LCU,,16713
2017,SL_EMP_EARN,,M,ISIC4_BTFXE,CUR_LCU,,6469
2017,SL_EMP_EARN,,F,ISIC4_BTFXE,CUR_LCU,,10244
2017,SL_EMP_EARN,,,ISIC4_GTS,CUR_LCU,,18194
2017,SL_EMP_EARN,,M,ISIC4_GTS,CUR_LCU,,12230
2017,SL_EMP_EARN,,F,ISIC4_GTS,CUR_LCU,,5964
2018,SL_EMP_EARN,,,ISIC4_A,CUR_LCU,,14579
2018,SL_EMP_EARN,,M,ISIC4_A,CUR_LCU,,8966
2018,SL_EMP_EARN,,F,ISIC4_A,CUR_LCU,,5613
2018,SL_EMP_EARN,,,ISIC4_BTFXE,CUR_LCU,,14271
2018,SL_EMP_EARN,,M,ISIC4_BTFXE,CUR_LCU,,5523
2018,SL_EMP_EARN,,F,ISIC4_BTFXE,CUR_LCU,,8748
2018,SL_EMP_EARN,,,ISIC4_GTS,CUR_LCU,,15616
2018,SL_EMP_EARN,,M,ISIC4_GTS,CUR_LCU,,10493
2018,SL_EMP_EARN,,F,ISIC4_GTS,CUR_LCU,,5123
2019,SL_EMP_EARN,,,ISIC4_A,CUR_LCU,,15813
2019,SL_EMP_EARN,,M,ISIC4_A,CUR_LCU,,9735
2019,SL_EMP_EARN,,F,ISIC4_A,CUR_LCU,,6078
2019,SL_EMP_EARN,,,ISIC4_BTFXE,CUR_LCU,,16979
2019,SL_EMP_EARN,,M,ISIC4_BTFXE,CUR_LCU,,6571
2019,SL_EMP_EARN,,F,ISIC4_BTFXE,CUR_LCU,,10407
2019,SL_EMP_EARN,,,ISIC4_GTS,CUR_LCU,,17088
2019,SL_EMP_EARN,,M,ISIC4_GTS,CUR_LCU,,11487
2019,SL_EMP_EARN,,F,ISIC4_GTS,CUR_LCU,,5601
