Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,GeoCode,Value
2010,SL_TLF_CHLDEC,,,,,,PT,,15.0
2010,SL_TLF_CHLDEC,,M,,,,PT,,17.0
2010,SL_TLF_CHLDEC,,F,,,,PT,,13.0
2017,SL_TLF_CHLDEC,,,,,,PT,,42.8
2017,SL_TLF_CHLDEC,,M,,,,PT,,43.2
2017,SL_TLF_CHLDEC,,F,,,,PT,,42.4
2017,SL_TLF_CHLDEC,,,Y5T17,,,PT,,42.5
2017,SL_TLF_CHLDEC,,M,Y5T17,,,PT,,42.9
2017,SL_TLF_CHLDEC,,F,Y5T17,,,PT,,42.1
2017,SL_TLF_CHLDEC,,,Y5T11,,,PT,,38.0
2017,SL_TLF_CHLDEC,,,Y12T14,,,PT,,48.6
2017,SL_TLF_CHLDEC,,,,,Q1,PT,,48.6
2017,SL_TLF_CHLDEC,,,,,Q2,PT,,47.1
2017,SL_TLF_CHLDEC,,,,,Q3,PT,,44.5
2017,SL_TLF_CHLDEC,,,,,Q4,PT,,38.0
2017,SL_TLF_CHLDEC,,,,,Q5,PT,,28.5
2017,SL_TLF_CHLDEC,,,,U,,PT,,33.1
2017,SL_TLF_CHLDEC,,,,R,,PT,,45.7
