Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,996.75,,PER_100000_POP,VC_DSR_AFFCT
2016,358.1,,PER_100000_POP,VC_DSR_AFFCT
2017,3805.69,,PER_100000_POP,VC_DSR_AFFCT
2018,9270.11,,PER_100000_POP,VC_DSR_AFFCT
2019,10795.47,,PER_100000_POP,VC_DSR_AFFCT
2015,0.1,,PER_100000_POP,VC_DSR_MORT
2016,0.07,,PER_100000_POP,VC_DSR_MORT
2017,0.14,,PER_100000_POP,VC_DSR_MORT
2018,0.91,,PER_100000_POP,VC_DSR_MORT
2019,0.37,,PER_100000_POP,VC_DSR_MORT
2015,0.38,,PER_100000_POP,VC_DSR_IJILN
2016,0.0,,PER_100000_POP,VC_DSR_IJILN
2017,0.0,,PER_100000_POP,VC_DSR_IJILN
2018,0.02,,PER_100000_POP,VC_DSR_IJILN
2019,0.22,,PER_100000_POP,VC_DSR_IJILN
2015,0.0,,PER_100000_POP,VC_DSR_MISS
2016,0.0,,PER_100000_POP,VC_DSR_MISS
2017,0.0,,PER_100000_POP,VC_DSR_MISS
2018,0.37,,PER_100000_POP,VC_DSR_MISS
2019,0.99,,PER_100000_POP,VC_DSR_MISS
2015,1.37,,PER_100000_POP,VC_DSR_PDYN
2016,0.0,,PER_100000_POP,VC_DSR_PDYN
2017,0.0,,PER_100000_POP,VC_DSR_PDYN
2018,0.0,,PER_100000_POP,VC_DSR_PDYN
2019,0.0,,PER_100000_POP,VC_DSR_PDYN
